role,sheet,code,source,raw,seg_type,text
Giáo viên,00_CONTEXT,CTX-PARTICIPANT,Điểm hội tụ liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-PARTICIPANT,Điểm phân kì liên trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-PARTICIPANT,Phân kì nội trường,Không áp dụng ở cấp mã nhánh.,analyst,Không áp dụng ở cấp mã nhánh.
Giáo viên,00_CONTEXT,CTX-PARTICIPANT,Loại quan hệ so sánh,Mã nhánh – tổng hợp từ mã con,analyst,Mã nhánh – tổng hợp từ mã con
Giáo viên,00_CONTEXT,CTX-PARTICIPANT,Diễn giải học thuật,"Không sử dụng riêng dòng nhánh để kết luận. Cần tổng hợp các mã con nhằm nhận diện mẫu hình liên trường về vai trò, thâm niên và đặc điểm người tham gia.",analyst,"Không sử dụng riêng dòng nhánh để kết luận. Cần tổng hợp các mã con nhằm nhận diện mẫu hình liên trường về vai trò, thâm niên và đặc điểm người tham gia."
Giáo viên,00_CONTEXT,CTX-ROLE,Điểm hội tụ liên trường,Ba trường có dữ liệu trực tiếp đều cho thấy giáo viên tham gia từ tiểu học đến trung học và gắn với các chương trình/hệ khác nhau.,analyst,Ba trường có dữ liệu trực tiếp đều cho thấy giáo viên tham gia từ tiểu học đến trung học và gắn với các chương trình/hệ khác nhau.
Giáo viên,00_CONTEXT,CTX-ROLE,Điểm phân kì liên trường,"Khác biệt chủ yếu ở cấp học, môn dạy, vai trò chủ nhiệm và phạm vi chương trình; TrA không có trích dẫn trực tiếp tại mã này, TrD không có nguồn GV.",analyst,"Khác biệt chủ yếu ở cấp học, môn dạy, vai trò chủ nhiệm và phạm vi chương trình; TrA không có trích dẫn trực tiếp tại mã này, TrD không có nguồn GV."
Giáo viên,00_CONTEXT,CTX-ROLE,Loại quan hệ so sánh,Hội tụ một phần về vai trò giảng dạy,analyst,Hội tụ một phần về vai trò giảng dạy
Giáo viên,00_CONTEXT,CTX-ROLE,Mức độ bằng chứng,Khá (3/5 trường; 8/9 nguồn GV; TrD 0 nguồn),analyst,Khá (3/5 trường; 8/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-ROLE,Diễn giải học thuật,"Mẫu GV có vị trí quan sát không đồng nhất: giáo viên chủ nhiệm tiểu học, giáo viên bộ môn trung học và giáo viên làm việc trong nhiều hệ chương trình. Khác biệt vai trò cần được dùng để giải thích chênh lệch nhận biết QA, lãnh đạo và chương trình.",analyst,"Mẫu GV có vị trí quan sát không đồng nhất: giáo viên chủ nhiệm tiểu học, giáo viên bộ môn trung học và giáo viên làm việc trong nhiều hệ chương trình. Khác biệt vai trò cần được dùng để giải thích chênh lệch nhận biết QA, lãnh đạo và chương trình."
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Điểm hội tụ liên trường,"Cả bốn trường có nguồn GV đều có người tham gia đủ thời gian trải nghiệm nhà trường, từ khoảng hai–ba năm đến bảy–tám năm.",analyst,"Cả bốn trường có nguồn GV đều có người tham gia đủ thời gian trải nghiệm nhà trường, từ khoảng hai–ba năm đến bảy–tám năm."
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Điểm phân kì liên trường,"Thâm niên khác nhau rõ giữa và trong trường, đặc biệt ở TrB và TrE; chuẩn so sánh hiện tại–quá khứ vì thế không đồng nhất.",analyst,"Thâm niên khác nhau rõ giữa và trong trường, đặc biệt ở TrB và TrE; chuẩn so sánh hiện tại–quá khứ vì thế không đồng nhất."
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Phân kì nội trường,TrB: một phần; TrE: một phần,analyst,TrB: một phần; TrE: một phần
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Loại quan hệ so sánh,Hội tụ về trải nghiệm bối cảnh + phân kì thâm niên,analyst,Hội tụ về trải nghiệm bối cảnh + phân kì thâm niên
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Mức độ bằng chứng,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn),analyst,Mạnh (4/5 trường; 9/9 nguồn GV; TrD 0 nguồn)
Giáo viên,00_CONTEXT,CTX-TENURE-SCHOOL,Diễn giải học thuật,Kết hợp nguồn mới và lâu năm cho phép nhìn cả trạng thái hiện tại lẫn quỹ đạo thay đổi. Không mặc định thâm niên cao đồng nghĩa đánh giá chính xác hơn.,analyst,Kết hợp nguồn mới và lâu năm cho phép nhìn cả trạng thái hiện tại lẫn quỹ đạo thay đổi. Không mặc định thâm niên cao đồng nghĩa đánh giá chính xác hơn.
Giáo viên,00_CONTEXT,CTX-TENURE-EDU,Điểm hội tụ liên trường,3/4 trường có nguồn GV cung cấp dữ liệu về thâm niên trong giáo dục.,analyst,3/4 trường có nguồn GV cung cấp dữ liệu về thâm niên trong giáo dục.
Giáo viên,00_CONTEXT,CTX-TENURE-EDU,Điểm phân kì liên trường,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm.",analyst,"Khác biệt bối cảnh phản ánh quy mô, chương trình, cấp học hoặc vai trò; không được diễn giải như bất đồng quan điểm."
Giáo viên,00_CONTEXT,CTX-TENURE-EDU,Loại quan hệ so sánh,Hội tụ một phần về bối cảnh,analyst,Hội tụ một phần về bối cảnh
Giáo viên,00_CONTEXT,CTX-TENURE-EDU,Mức độ bằng chứng,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn),analyst,Trung bình (3/5 trường; 4/9 nguồn GV; TrD 0 nguồn)
