Câu hỏi,Cấu phần,Định lượng,Phát hiện định tính,Nguồn định tính,Quan hệ,Suy luận tích hợp
"CHNC1, CHNC2","Cấu trúc — chuẩn mực, chiến lược, vận hành (NOR/STR/OPE)",M = 4.62/4.527/4.648; r với VHCL = 0.827/0.833/0.841; M3 có đường trực tiếp tới VHCL,"385 đoạn. Mã nổi bật: QA-GOAL-COMM (n=21, 5 trường); QA-GOAL-AWARE (n=21, 5 trường); QA-PROC-DOCUMENT (n=17, 5 trường); QA-MONITOR (n=17, 5 trường) | Trích dẫn (TrD, CBQL): “Thế cái kỹ năng này thì như nãy mình nói là một cái phần là ví dụ webin hoặc là các cái cái hoạt động trải nghiệm khác. Hoạt động trải nghiệm thì nó diễn ra xuyên suốt trong cả một năm. Thế thì những cái mà như cô vừa nói là để hộ”",Khối 01_STRUCTURAL,Hội tụ (mở rộng),"Cấu trúc không chỉ tác động gián tiếp qua lãnh đạo/giao tiếp như mô hình EUA giả định, mà còn trực tiếp định hình cảm nhận về VHCL. Cấu trúc hữu hình hoạt động như tín hiệu văn hóa."
"CHNC1, CHNC2, CHNC4",Lãnh đạo chất lượng (LED),M = 4.69; r với VHCL = 0.793; β(LED→TRU) = 0.497; β(LED→GLO) = 0.367,"245 đoạn. Mã nổi bật: LEAD-SUPPORT (n=22, 5 trường); LEAD-EXPECT-GAP (n=17, 5 trường); LEAD-MODEL (n=15, 5 trường); LEAD-EXPECT-QUALITY (n=13, 5 trường) | Trích dẫn (TrB, CBQL): “có thể nói đơn giản có hai điểm được điểm được tức là khá là tôn trọng ý kiến của mọi người trong cái chuyện tất cả mọi thứ sẽ đều trao đổi và hỏi không phải là người độc đoán trong cái chuyện quyết định một vấn đề nào đó nhưng cá”",Khối 04_LEADERSHIP,Hội tụ,Lãnh đạo vận hành qua hai đường: xây dựng lòng tin và tác động trực tiếp lên VHCL.
"CHNC1, CHNC2, CHNC4",Giao tiếp đồng nghiệp (COL),M = 4.756; r với VHCL = 0.861 (mạnh nhất); β(COL→GLO) = 0.572; β(COL→SHA) = 0.605,"309 đoạn. Mã nổi bật: PART-VOICE (n=21, 5 trường); COMM-MEETING (n=19, 5 trường); COMM-DIGITAL (n=19, 5 trường); COMM-TWOWAY (n=19, 5 trường) | Trích dẫn (TrD, CBQL): “Bạn hình dung ra được cái khó khăn bạn cứ trình bày đi thì bọn mình cùng tìm ra cái giải pháp. [COMM-INTERNAL> 199 - 199 (1) [TrD_CBQL1]: Chứ cũng không phải bảo rằng là sao em cũng chịu làm hay là kia. Nói chung là bọn mình cũng ”",Khối 05_COMMUNICATION_PARTICIPATION,Hội tụ (mạnh),Giao tiếp là đòn bẩy số một của VHCL ở cả hai nguồn dữ liệu — phát hiện vững nhất của nghiên cứu.
"CHNC2, CHNC4",Tham gia (PAR),"M = 4.71; r với VHCL = 0.601; không có đóng góp riêng trong hồi quy (p > .05); 68,3% chọn 'tham gia ra quyết định' là giá trị quan trọng nhưng chỉ 5,3% xếp vào top 5","77 đoạn. Mã nổi bật: PART-VOICE (n=21, 5 trường); PART-FEEDBACK (n=14, 5 trường); PART-INITIATIVE (n=12, 5 trường); PART-SUPPORTED (n=8, 3 trường) | Trích dẫn (TrB, Giáo viên): “và ngay cả khi tôi làm ở đây lâu năm Rồi về khi mà thay đổi các cơ cấu về à ừ lãnh đạo cũng như là quyền lực hay là những cái team chuyên môn thì ờ các ý kiến đóng góp của những người làm lâu năm có kinh nghiệm hoặc là được gửi đi”",Mã PART-* trong khối 05,NGHỊCH LÝ — định tính giải thích,Khoảng cách giữa giá trị được tuyên bố và tác động thực tế gợi ý sự tham gia mang tính hình thức. Đây là điểm định tính có giá trị giải thích cao nhất.
"CHNC1, CHNC2",Thái độ cá nhân (COM/RES/ENG),M cao nhất hệ thống (5.203/5.064/5.085) nhưng tải yếu lên khối cấu phần trong mô hình ME (RQ1) và đóng góp không đáng kể vào GLO,"304 đoạn. Mã nổi bật: COMMIT-QUALITY (n=21, 5 trường); RESP-STUDENT (n=21, 5 trường); ENG-MOTIVATION (n=20, 5 trường); ENG-RETENTION (n=19, 5 trường) | Trích dẫn (TrD, CBQL): “Thì bên bên mình á là trước khi mà được ký hợp đồng á mỗi mỗi một cái thành viên thì sẽ có một cái vai trò khác nhau. Ví dụ là giáo viên thì phải cam kết dạy thế nào và đảm bảo cái chất lượng học sinh dạy dỗ thế nào và giáo dục họ”",Khối 02_INDIVIDUAL,NGHỊCH LÝ — định tính giải thích,Vốn cá nhân dồi dào nhưng thiếu cơ chế tổ chức để chuyển hóa thành văn hóa chung. Đây là đòn bẩy chính sách rõ nhất của luận án.
"CHNC1, CHNC2",Niềm tin và giá trị chung (TRU/SHA),M = 4.748/4.617; tải mạnh nhất lên khối Tâm lý – Tổ chức trong mô hình ME (RQ1),"209 đoạn. Mã nổi bật: VALUE-SHARED (n=24, 5 trường); TRUST-COLLEAGUE (n=23, 5 trường); TRUST-SUPPORT (n=21, 5 trường); VALUE-GAP (n=17, 5 trường) | Trích dẫn (TrA, CBQL): “À tại vì chắc cũng có thể tại ở cái level của mình thì BOD (ban giám đốc) khá là rất là support, rất là support mình trong cái việc là tôn trọng cái quyết định của mình và hỏi cái ý kiến của mình à trong các cái công việc giải quy”",Khối 03_COLLECTIVE,Hội tụ,Cấp độ tập thể — chứ không phải cấp độ cá nhân — mới là lõi tâm lý của VHCL. Kết quả này thống nhất giữa CFA cấu phần và cán cân thuận lợi định tính.
"CHNC1, CHNC2",VHCL tổng thể (GLO),M = 4.569 — thấp hơn hầu hết thành tố,"232 đoạn. Mã nổi bật: QCULT-MIXED (n=19, 4 trường); QCULT-C-ADHOC (n=16, 5 trường); QCULT-TYPE-REASON (n=16, 5 trường); QVAL-RECOGNITION (n=12, 5 trường) | Trích dẫn (TrB, CBQL): “Số một là giao tiếp minh bạch. Phải nói rất rõ là muốn gì và không muốn gì. cái gì được cái gì không được. Cái gì đúng cái gì sai. Cái gì phù hợp với không phù hợp là phải nói rõ. [QVAL-TRANSPARENT> [QVAL-PRIORITY-TOP5> 327 - 327 ”",Khối 06_QCULT_IDENTIFICATION,Hội tụ (bổ sung chiều sâu),"Định lượng đo mức độ, định tính cho biết kiểu hình. VHCL được cảm nhận thấp hơn từng thành tố cấu thành — dấu hiệu của văn hóa chưa được tích hợp."
CHNC3,Kết quả nghề nghiệp (OCM/SAT_O/SAT_J/WEG/PRO),"VHCL dự báo cả 5 kết quả (β = .66–.76, p < .001); trung gian qua GLO có ý nghĩa ở phần lớn tổ hợp","265 đoạn. Mã nổi bật: OUT-DISSAT (n=22, 5 trường); OUT-JOB-SAT (n=21, 5 trường); OUT-PD-EFFECT (n=21, 5 trường); OUT-PD-FORM (n=20, 5 trường) | Trích dẫn (TrB, CBQL): “Lâu lắm rồi mình chưa thấy một bên thứ ba nào mà thật sự chất lượng và ấn tượng để mà vào để mà thật sự tập huấn những chủ đề mà rất quan trọng mà cần chuyên gia. Chúng ta cần chuyên gia chứ không phải là PD là giáo viên lên chia ”",Khối 07_RELATED_OUTCOMES,Hội tụ,"Cả hai nguồn đều cho thấy VHCL gắn với hài lòng, gắn kết và phát triển chuyên môn; định tính bổ sung cơ chế mà hồi quy không cho thấy."
CHNC4,Thuận lợi (điều kiện đang hỗ trợ VHCL),COM/RES/ENG đạt mức cao nhất hệ thống — vốn sẵn có của đội ngũ,"132 đoạn. Mã nổi bật: VALUE-SHARED (n=24, 5 trường); TRUST-COLLEAGUE (n=23, 5 trường); COMMIT-QUALITY (n=21, 5 trường); TRUST-SUPPORT (n=21, 5 trường) | Trích dẫn (TrB, CBQL): “Cái này là mình đã thể hiện rất nhiều thông qua những việc mình làm. Ờ kể cả tổ chức hội thảo phụ huynh học sinh. Sáng này mình vừa hoàn thành một cái hội thảo với học sinh [địa phương khác]. [COMMIT-QUALITY> 117 - 117 (1) [TrB_CB”","RQ4_01_thuan_loi.csv (mã sentiment dương, ≥3 trường)",Hội tụ,"Thuận lợi tập trung ở cấp độ tập thể (niềm tin, giá trị chung) và ở quan hệ đồng nghiệp, không ở hệ thống cấu trúc."
CHNC4,Khó khăn và thách thức,Khối cấu trúc (NOR/STR/OPE) có điểm thấp trong nhóm tiền đề,"264 đoạn. Mã nổi bật: CHAL-GOV-MECH (n=15, 4 trường); CHAL-SUSTAIN (n=14, 5 trường); CHAL-HR-CAPACITY (n=13, 5 trường); CHAL-COMM-FEEDBACK (n=11, 4 trường) | Trích dẫn (TrD, CBQL): “Sao mình không nhìn như thế? Thế còn ví dụ như nó dở đấy là do là nó từ bên kia nó về nó chưa có giỏi mà phụ huynh người ta không có coi trọng cái đó thì mình thấy là trung bình thôi là được rồi. [CHAL-SUSTAIN> 333 - 333 (1) [TrD_”",Khối 08_CHALLENGES + 09_CAUSES,Hội tụ,Cán cân thuận lợi/khó khăn âm nặng nhất ở khối Cấu trúc – Hình thức: đây là điểm nghẽn của việc xây dựng VHCL.
CHNC4,Giải pháp đề xuất,Đòn bẩy mạnh nhất theo mô hình: giao tiếp và lãnh đạo,"165 đoạn. Mã nổi bật: SOL-SUSTAIN (n=10, 4 trường); SOL-GOV-MECH (n=9, 3 trường); SOL-PD-RELEVANT (n=8, 3 trường); SOL-LEAD-LEVEL (n=7, 2 trường) | Trích dẫn (TrC, CBQL): “Tức đầu tiên là phải thay đổi cái cái bộ phận a quản lý tầm trung. Là phải thực sự là thuê những người mà họ có bằng cấp chuyên môn. đ đàn hoàng. [SOL-STABILITY> [SOL-LEAD-CLEAR> 438 - 438 (1) [TrC_CBQL1]: Rồi test họ có họ có hiể”",Khối 10_SOLUTIONS,Bổ sung,Định lượng chỉ ra đòn bẩy nào mạnh nhất; định tính cho biết người trong cuộc đề xuất làm gì cụ thể.
"CHNC2, CHNC3",Khoảng cách Việt Nam — nước ngoài,"d = 2,08 ở VHCL (M = 4,78 vs 3,12); mất ý nghĩa thống kê khi kiểm soát VHCL → khoảng cách vận hành QUA cảm nhận VHCL","161 đoạn. Mã nổi bật: CTX-TENURE-SCHOOL (n=24, 5 trường); CTX-ROLE (n=23, 5 trường); CTX-PROGRAM (n=22, 5 trường); QA-GOAL-AWARE (n=21, 5 trường) | Trích dẫn (TrA, Giáo viên): “Ờ hiện tại thì à ừ từ khối 6 đến khối 12 thì đang có hai chương trình giảng dạy. Một chương trình là chương trình song ngữ tích hợp và một chương trình là chương trình đơn ngữ. Thì hiện tại chương trình đơn ngữ học sinh sẽ học chư”","3 nguồn nước ngoài, phần 9 notebook định tính",Cần kiểm chứng hội tụ,"Nếu diễn ngôn hai nhóm khác biệt có ý nghĩa (kiểm định hoán vị p < .05), đây là bằng chứng hội tụ đa nguồn cho phát hiện quan trọng nhất của luận án."
